"","x"
"1",0
"2",1
"3",0
"4",0
"5",1
"6",0
"7",1
"8",0
"9",1
"10",0
"11",0
"12",0
"13",1
"14",0
"15",1
"16",1
"17",0
"18",1
"19",0
"20",1
"21",1
"22",1
"23",1
"24",1
"25",1
"26",0
"27",1
"28",1
"29",0
"30",1
"31",0
"32",0
"33",1
"34",0
"35",1
"36",1
"37",1
"38",1
"39",0
"40",0
"41",1
"42",1
"43",0
"44",1
"45",1
"46",0
"47",1
"48",0
"49",1
"50",1
"51",0
"52",1
"53",1
"54",1
"55",1
"56",0
"57",0
"58",0
"59",0
"60",1
"61",0
"62",0
"63",0
"64",1
"65",1
"66",1
"67",1
"68",0
"69",1
"70",0
"71",1
"72",0
"73",1
"74",1
"75",1
"76",1
"77",0
"78",1
"79",0
"80",1
"81",1
"82",0
"83",0
"84",0
"85",0
"86",1
"87",1
"88",0
"89",1
"90",1
"91",1
"92",0
"93",0
"94",0
"95",1
"96",0
"97",1
"98",0
"99",1
"100",0
"101",1
"102",0
"103",0
"104",0
"105",1
"106",0
"107",0
"108",0
"109",0
"110",0
"111",1
"112",1
"113",1
"114",1
"115",1
"116",1
"117",1
"118",1
"119",1
"120",1
"121",1
"122",0
"123",1
"124",0
"125",0
"126",1
"127",0
"128",1
"129",0
"130",0
"131",0
"132",0
"133",0
"134",1
"135",0
"136",0
"137",1
"138",0
"139",1
"140",0
"141",0
"142",1
"143",1
"144",0
"145",0
"146",0
"147",1
"148",0
"149",0
"150",0
"151",1
"152",1
"153",0
"154",1
"155",0
"156",0
"157",1
"158",1
"159",1
"160",1
"161",1
"162",1
"163",1
"164",0
"165",0
"166",1
"167",1
"168",0
"169",1
"170",1
"171",0
"172",1
"173",0
"174",1
"175",0
"176",1
"177",1
"178",1
"179",1
"180",1
"181",0
"182",1
"183",1
"184",0
"185",1
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",1
"194",0
"195",1
"196",0
"197",1
"198",1
"199",0
"200",1
"201",1
"202",1
"203",1
"204",1
"205",0
"206",0
"207",1
"208",0
"209",1
"210",0
"211",0
"212",0
"213",0
"214",1
"215",0
"216",0
"217",1
"218",0
"219",1
"220",0
"221",1
"222",0
"223",1
"224",0
"225",1
"226",1
"227",0
"228",1
"229",0
"230",0
"231",0
"232",1
"233",0
"234",0
"235",1
"236",0
"237",1
"238",1
"239",1
"240",1
"241",1
"242",1
"243",1
"244",0
"245",0
"246",1
"247",1
"248",0
"249",1
"250",1
"251",1
"252",0
"253",1
"254",0
"255",0
"256",0
"257",0
"258",0
"259",1
"260",0
"261",0
"262",0
"263",1
"264",1
"265",1
"266",0
"267",0
"268",0
"269",1
"270",0
"271",1
"272",0
"273",1
"274",1
"275",1
"276",1
"277",1
"278",0
"279",0
"280",0
"281",1
"282",1
"283",1
"284",1
"285",1
"286",0
"287",0
"288",1
"289",1
"290",0
"291",0
"292",1
"293",1
"294",0
"295",0
"296",0
"297",1
"298",1
"299",0
"300",0
"301",0
"302",1
"303",0
"304",0
"305",1
"306",1
"307",0
"308",1
"309",0
"310",1
"311",0
"312",1
"313",0
"314",1
"315",1
"316",1
"317",1
"318",0
"319",0
"320",0
"321",0
"322",1
"323",0
"324",0
"325",1
"326",0
"327",1
"328",1
"329",0
"330",0
"331",1
"332",1
"333",1
"334",1
"335",0
"336",0
"337",0
"338",1
"339",0
"340",1
"341",0
"342",0
"343",0
"344",1
"345",1
"346",1
"347",0
"348",1
"349",0
"350",1
"351",1
"352",1
"353",0
"354",0
"355",1
"356",1
"357",1
"358",0
"359",0
"360",1
"361",0
"362",1
"363",1
"364",0
"365",1
"366",1
"367",1
"368",1
"369",1
"370",1
"371",0
"372",1
"373",0
"374",0
"375",1
"376",1
"377",1
"378",0
"379",0
"380",0
"381",0
"382",0
"383",1
"384",1
"385",0
"386",1
"387",0
"388",0
"389",0
"390",0
"391",1
"392",1
"393",1
"394",0
"395",0
"396",1
"397",0
"398",1
"399",0
"400",0
"401",1
"402",0
"403",1
"404",0
"405",1
"406",1
"407",0
"408",1
"409",1
"410",1
"411",1
"412",1
"413",1
"414",0
"415",1
"416",0
"417",0
"418",1
